"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"SCKM","2006-12-02T06:00:00","49.00","-42.90",,,"1","5","0","0","6","3",,"1","SE","0","250","3","334","1","96",,,"10012","3","42","0",,,,"0",,,"120","7",,,,,,,"4","14",,"6","18","173","92","926","112","5","1","0","1","11311F","111AA18A811371",,,"1","1","8",,,"0",,,,,,,,,,,,"4",,,"0","91111221911111111190","5",,,,,,,
"SKUN","2006-12-02T06:00:00","47.20","-40.10",,,"1","6","0","0","2","4",,"1","SE","0","270","3","123","0","95","2","1","10038","7","3","0","122",,,"0","12","1","147","8","8",,"0","5",,,,,,,,"173","70","926","112","5","1","0","1","111111","1114111A111AA1",,,"1","1","8","1","1",,,,,,,,,,,,,"4",,,"2","11111111119991111190","6",,,,,,,
"VAAZ","2006-12-02T06:00:00","47.80","-47.90",,,"1","5","0","0","6","1",,"1",,"0","310","4","134",,,,,"10117","1","30","0","5",,,,"-23",,,,,,,"A",,,,,,,,"173","77","992","114","5","1","2","1","F11111","11AAA11A1A8AA1",,,,,,"6",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VEP717","2006-12-02T06:00:00","46.70","-48.70",,,"1","5","0","0","0","0",,"1",,"0","320","4","129",,"97","2","2","10138","2","25","3","19","0","1",,"-30",,"56","6","6","0",,"7","5","0","5","4","29","8","6","173","68","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"VRWQ2","2006-12-02T06:00:00","40.20","-45.20",,,"1","6","0","0","7","5",,"1",,"0","220","4","154",,"98","2","2","10270","1","20","0","190","0","160",,"142","1","200","7","7","A",,"4","A","A",,,,,,"173","5","992","114","5","1","2","1","111111","11111111111AA1",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"WDC6736","2006-12-02T06:00:00","43.40","-43.90",,,"1","6","0","0","1","4",,"1",,"0","230","4","154",,"97","2","2","10165","7","25","3","190","0","170",,"160","1","200","8","8","6",,"4","A","A","3","4","23","4","5","173","33","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"WQVY","2006-12-02T06:00:00","40.30","-44.10",,,"1","6","0","0","6","3",,"1",,"0","240","4","195",,"97","2","1","10255","8","15","3","195","0","170",,"160",,,"5","5","2",,"4","6","3","4","8","27","6","13","173","4","992","114","5","1","2","1","F11111","111111111A1111",,,,,,"1","1",,,,,,,,,,,,,"4",,,,,,,,,,,,
"44909","2006-12-02T06:20:00","43.17","-48.99",,,"1","3","2","5",,,,"3",,,,,,,,,,"10193",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T06:37:00","48.85","-40.68",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"140",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T06:48:00","40.95","-43.64",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"195",,,,,,,,,,,,,"173","3","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-02T06:48:00","46.43","-43.02",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"99",,,,,,,,,,,,,"173","63","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T06:48:00","47.31","-48.87",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T07:00:00","49.00","-42.64",,,"1","3","2","5",,,,"3",,,,,,,,,,"10039",,,"3",,,,,,,"132",,,,,,,,,,,,,"173","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T07:00:00","44.45","-43.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10146",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T07:00:00","43.43","-44.09",,,"1","3","2","5",,,,"3",,,,,,,,,,"10177",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T07:00:00","40.70","-47.56",,,"1","3","2","5",,,,"3",,,,,,,,,,"10254",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T07:00:00","48.81","-44.28",,,"1","3","2","5",,,,"3",,,,,,,,,,"10061",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T07:00:00","47.55","-44.53",,,"1","3","2","5",,,,"3",,,,,,,,,,"10107",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-02T07:20:00","43.17","-48.99",,,"1","3","2","5",,,,"3",,,,,,,,,,"10184",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T07:26:00","48.85","-40.63",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"140",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"884","2006-12-02T07:42:00","47.00","-44.77",,,"1","4","3","5",,,,"6","CA","0","290","4","138",,,"25",,"10220",,,,"4",,"3","1","2","12","75",,,,,,,,,"8",,,,"173","74","780","149","17","0",,"1","111113","11A1A11111A3AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7362","2006-12-02T07:43:00","46.65","-46.70",,,"1","3","3","5",,,,"6","CA",,,,,,,,,,,,,,,,,,"12","79",,,,,,,,,,,,,"173","66","780","149","17","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T07:56:00","47.31","-48.86",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T08:00:00","49.01","-42.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10048",,,"3",,,,,,,"130",,,,,,,,,,,,,"173","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T08:00:00","44.46","-43.57",,,"1","3","2","5",,,,"3",,,,,,,,,,"10147",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T08:00:00","43.44","-44.07",,,"1","3","2","5",,,,"3",,,,,,,,,,"10178",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T08:00:00","40.70","-47.60",,,"1","3","2","5",,,,"3",,,,,,,,,,"10250",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T08:00:00","48.78","-44.25",,,"1","3","2","5",,,,"3",,,,,,,,,,"10071",,,"3",,,,,,,"73",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T08:00:00","47.51","-44.48",,,"1","3","2","5",,,,"3",,,,,,,,,,"10112",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-02T08:20:00","43.16","-48.97",,,"1","3","2","5",,,,"3",,,,,,,,,,"10187",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T08:26:00","48.85","-40.63",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"140",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T08:30:00","40.97","-43.62",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"195",,,,,,,,,,,,,"173","3","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T09:00:00","49.01","-42.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10060",,,"3",,,,,,,"130",,,,,,,,,,,,,"173","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T09:00:00","44.47","-43.57",,,"1","3","2","5",,,,"3",,,,,,,,,,"10152",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T09:00:00","43.44","-44.04",,,"1","3","2","5",,,,"3",,,,,,,,,,"10178",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T09:00:00","40.70","-47.63",,,"1","3","2","5",,,,"3",,,,,,,,,,"10250",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T09:00:00","48.77","-44.25",,,"1","3","2","5",,,,"3",,,,,,,,,,"10081",,,"3",,,,,,,"73",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T09:00:00","47.50","-44.47",,,"1","3","2","5",,,,"3",,,,,,,,,,"10121",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CGDG","2006-12-02T09:00:00","47.00","-44.80",,,"1","5","0","0","6","1",,"1",,"0","300","4","139",,"97","2","8","10117","1","22","0","35","0","21",,"-3",,,"8",,,,"A",,,"5","8","26","7","6","173","74","992","114","5","1","2","1","F11111","111111111A1111",,,,,,"1","6",,,,,,,,,,,,,"4",,,,,,,,,,,,
"HP6038","2006-12-02T09:00:00","46.40","-48.40",,,"1","6","0","0","0","0",,"1",,"0","320","4","62",,"97","2","2","10149","1","4","3","46","0","30",,"20","0","61","8","8","6",,"4","A","A","5","3","2","14","5","173","68","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,"24","9","4",,,,,,,,,"4",,,,,,,,,,,,
"VEP717","2006-12-02T09:00:00","46.70","-48.70",,,"1","5","0","0","0","0",,"1",,"0","330","4","67",,"98","2","2","10146","1","8","3","9","0","-10",,"-50",,"56","8","8","5",,"7","A","A","3","2","27","8","7","173","68","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"WDC6736","2006-12-02T09:00:00","42.80","-42.70",,,"1","6","0","0","1","5",,"1",,"0","250","4","201",,,,"2","10155","7","20","3","190","0","120",,"60","1","200","8","8","A",,"4","A","A",,,,,,"173","22","992","114","5","1","2","1","111111","11AA1111111AA1",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"41909","2006-12-02T09:06:00","40.97","-43.60",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"194",,,,,,,,,,,,,"173","3","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-02T09:06:00","46.43","-43.02",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"108",,,,,,,,,,,,,"173","63","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T09:06:00","48.84","-40.60",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"142",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T09:07:00","47.30","-48.87",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-02T09:20:00","43.15","-48.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10182",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T09:35:00","40.98","-43.59",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"194",,,,,,,,,,,,,"173","3","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T09:36:00","48.83","-40.60",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"141",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-02T09:44:00","46.43","-43.02",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"108",,,,,,,,,,,,,"173","63","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T09:46:00","47.30","-48.87",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T10:00:00","49.03","-42.66",,,"1","3","2","5",,,,"3",,,,,,,,,,"10072",,,"3",,,,,,,"131",,,,,,,,,,,,,"173","92","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T10:00:00","44.47","-43.57",,,"1","3","2","5",,,,"3",,,,,,,,,,"10154",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T10:00:00","43.45","-44.03",,,"1","3","2","5",,,,"3",,,,,,,,,,"10175",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T10:00:00","40.70","-47.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10252",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T10:00:00","48.77","-44.25",,,"1","3","2","5",,,,"3",,,,,,,,,,"10094",,,"3",,,,,,,"73",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T10:00:00","47.49","-44.48",,,"1","3","2","5",,,,"3",,,,,,,,,,"10133",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-02T10:20:00","43.15","-48.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10182",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"884","2006-12-02T10:42:00","47.00","-44.99",,,"1","4","3","5",,,,"6","CA","0","300","4","107",,,"2",,"10240",,,,"3",,"2","1","0","12","78",,,,,,,,,"6",,,,"173","74","780","149","17","0",,"1","111113","11A1A11111A3AA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T10:43:00","40.99","-43.59",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"194",,,,,,,,,,,,,"173","3","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T10:44:00","48.83","-40.60",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"142",,,,,,,,,,,,,"173","80","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T10:45:00","47.27","-48.88",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T11:00:00","49.03","-42.66",,,"1","3","2","5",,,,"3",,,,,,,,,,"10084",,,"3",,,,,,,"130",,,,,,,,,,,,,"173","92","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T11:00:00","44.47","-43.57",,,"1","3","2","5",,,,"3",,,,,,,,,,"10156",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T11:00:00","43.45","-44.03",,,"1","3","2","5",,,,"3",,,,,,,,,,"10179",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T11:00:00","40.70","-47.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10253",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T11:00:00","48.77","-44.25",,,"1","3","2","5",,,,"3",,,,,,,,,,"10101",,,"3",,,,,,,"73",,,,,,,,,,,,,"173","84","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T11:00:00","47.48","-44.47",,,"1","3","2","5",,,,"3",,,,,,,,,,"10138",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-02T11:14:00","48.82","-40.57",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"142",,,,,,,,,,,,,"173","80","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T11:20:00","40.99","-43.59",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173","3","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-02T11:20:00","43.15","-48.94",,,"1","3","2","5",,,,"3",,,,,,,,,,"10182",,,"3",,,,,,,"112",,,,,,,,,,,,,"173","38","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44505","2006-12-02T11:21:00","47.27","-48.88",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"34",,,,,,,,,,,,,"173","78","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-02T11:44:00","46.54","-43.28",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"110",,,,,,,,,,,,,"173","63","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-02T11:54:00","41.00","-43.55",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"194",,,,,,,,,,,,,"173","13","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-02T12:00:00","49.05","-42.66",,,"1","3","2","5",,,,"3",,,,,,,,,,"10089",,,"3",,,,,,,"130",,,,,,,,,,,,,"173","92","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-02T12:00:00","44.50","-43.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10164",,,"3",,,,,,,"107",,,,,,,,,,,,,"173","43","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-02T12:00:00","43.45","-43.96",,,"1","3","2","5",,,,"3",,,,,,,,,,"10180",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","33","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-02T12:00:00","40.70","-47.65",,,"1","3","2","5",,,,"3",,,,,,,,,,"10255",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","7","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-02T12:00:00","48.77","-44.25",,,"1","3","2","5",,,,"3",,,,,,,,,,"10102",,,"3",,,,,,,"73",,,,,,,,,,,,,"173","84","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-02T12:00:00","47.48","-44.47",,,"1","3","2","5",,,,"3",,,,,,,,,,"10135",,,"3",,,,,,,"67",,,,,,,,,,,,,"173","74","714","63","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HCH7","2006-12-02T12:00:00","40.10","-46.30",,,"1","6","0","0","1","5",,"1",,"0","210","4","123",,"99",,,"10290",,,"3","190","0","170",,"160","1","170","1",,"A",,"7","A","5","5","6","21","7","6","173","6","992","114","5","1","2","2","111111","111AA11111111A",,,,,,"3",,,"24",,,,,,,,,,,"4",,,,,,,,,,,,
"C6QE7","2006-12-02T12:00:00","49.40","-48.10",,,"1","6","0","0","0","0",,"1",,"0","290","4","113",,"97","2","2","10122","5",,"3","10","0","1",,"-20","0","48","8","8","5",,"4","A","A","6","5","32","11","10","173","98","992","114","5","1","2","2","111111","11111111111117",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"CGDG","2006-12-02T12:00:00","46.90","-45.20",,,"1","5","0","0","6","2",,"1",,"0","300","4","103",,"98","2","2","10134","2","3","0","35","0","20",,"-6","0","75","8",,"7",,"2","2","A","7","7","35","7","7","173","65","992","114","5","1","2","2","111111","11111111111111",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
